feature,importance
spread_lag_24h,0.23010649665209915
spread_roll_mean_24h,0.19116473129028919
da_lmp_level,0.14935958600270874
spread_roll_vol_24h,0.1472155648639261
da_lmp_roll_mean_24h,0.0966351921582993
da_lmp_roll_vol_24h,0.053140179589594015
spread_lag_48h,0.046104744201732634
hour_sin,0.04079946899117316
hour_cos,0.01573864472965909
spread_roll_mean_168h,0.01149381819204831
spread_roll_vol_168h,0.011347874624704607
month_sin,0.003466889739977372
month_cos,0.0022177728355927085
is_weekend,0.0012090361281957595
