datetime_local,total_lmp_da,total_lmp_rt,spread,energy_spread,congestion_spread,loss_spread,spread_zscore_168h,driver
2024-01-15 09:00:00,180.67896,1217.4416083333333,1036.7626483333331,616.8177741666666,407.8358508333333,12.109041666666668,15.90795382804685,mixed
2024-07-23 19:00:00,292.00266,933.9574008333334,641.9547408333334,641.374225,8.422558333333333,-7.84205,13.943387584767823,energy_led
2024-01-15 08:00:00,213.40349,850.0469183333333,636.6434283333333,428.15276416666666,196.64219916666667,11.848466666666669,15.153618145058147,energy_led
2024-10-07 19:00:00,119.12537,687.7051816666667,568.5798116666667,246.29309916666665,320.9148741666667,1.371834166666667,18.255168447049368,mixed
2024-07-23 18:00:00,142.81639,693.4100950000001,550.593705,542.2441366666667,19.516599166666666,-11.167029166666667,31.86727174281108,energy_led
2024-01-16 09:00:00,229.05235,709.3528383333334,480.30048833333336,286.0358425,193.47020666666668,0.7944333333333334,4.393646436239445,mixed
2024-01-15 10:00:00,182.12907,564.7721891666666,382.6431191666666,233.77319166666663,145.753695,3.1162133333333326,3.671681934589558,energy_led
2024-01-13 10:00:00,181.77,520.8964,339.1264,447.7697433333333,-109.94381583333332,1.3004591666666667,18.25054176492437,energy_led
2024-01-13 11:00:00,175.56563,473.7412525,298.1756225,467.7055758333333,-168.79192916666668,-0.7380058333333334,9.241374294499222,energy_led
2024-05-27 19:00:00,43.18118,340.80079416666666,297.6196141666667,311.3069608333333,-1.1028708333333337,-12.584485833333334,22.593875683060524,energy_led
2024-07-24 21:00:00,77.00341,372.34487083333335,295.3414608333334,150.34912666666668,150.06048500000003,-5.068149166666667,4.161364680192646,mixed
2024-10-07 17:00:00,171.31342,390.05339,218.73997000000003,83.87692166666668,134.52417333333335,0.3388991666666665,8.259695432542838,congestion_led
2024-12-12 07:00:00,62.09318,237.19402333333332,175.10084333333333,180.02006749999995,-1.50634,-3.4128725,20.088503561978804,energy_led
2024-03-29 08:00:00,39.73395,211.77938916666668,172.04543916666668,89.7774875,81.89859750000001,0.3693566666666666,15.6566007171742,mixed
2024-10-07 16:00:00,111.11,263.37778333333335,152.26778333333334,38.49722250000001,113.47831833333336,0.29224,6.3967898324050205,congestion_led
2024-10-07 20:00:00,87.14313,209.18512,122.04199,65.73158166666666,56.15785416666667,0.152555,2.126802052322896,mixed
2024-01-13 19:00:00,192.67,300.7086033333333,108.03860333333331,704.5357175,-608.7840158333333,12.286909166666666,2.6825562760142256,mixed
2024-01-16 10:00:00,220.98445,322.74749249999996,101.76304249999995,80.14483166666668,20.866568333333333,0.7516533333333334,0.8178205427440868,energy_led
2024-07-23 15:00:00,64.19,159.00630833333335,94.81630833333335,81.38963249999999,12.061646666666665,1.36503,6.7136497816166605,energy_led
2024-10-03 17:00:00,109.28246,197.24355083333333,87.96109083333333,21.72981916666666,66.13219416666666,0.0990725,7.331503066333786,congestion_led
