fold,model,mae,rmse,bias,directional_accuracy
0,hourly_baseline,14.961650077264656,45.71146952674108,2.3970686418017344,0.6208333333333333
0,ridge,14.473802522615506,44.560990044505495,3.496748194018398,0.6666666666666666
0,random_forest,14.689353111672188,43.41645529249005,3.4879689946666494,0.6972222222222222
1,hourly_baseline,8.431988234997153,19.98961032486161,4.413016900028324,0.7
1,ridge,6.784469492796067,14.52806424571291,2.4040414929846916,0.7486111111111111
1,random_forest,6.725452303481211,14.619202556484968,2.268692691929001,0.7486111111111111
2,hourly_baseline,7.4978941647875725,22.93603577696767,0.5192650477469989,0.5944444444444444
2,ridge,7.0091690764981545,16.17938454801314,-1.913341669363905,0.6236111111111111
2,random_forest,6.654784464148136,18.08199135126474,0.46830062259616406,0.6305555555555555
3,hourly_baseline,10.601505722254444,28.51347111363365,-3.1081020901774203,0.5652777777777778
3,ridge,10.688636737347444,29.00323758213691,-2.6291720963485607,0.6069444444444444
3,random_forest,10.871734942178628,26.629978340190068,1.0751634900219889,0.6472222222222223
4,hourly_baseline,6.903627514633976,9.50800672773901,-2.3011464581293923,0.5583333333333333
4,ridge,6.3056595767537855,8.759590883677813,-0.21494960379524433,0.5916666666666667
4,random_forest,6.022667785923351,8.279834972123298,-0.11403683724542135,0.6152777777777778
5,hourly_baseline,6.999505901662201,11.408030074883824,-2.746861459365879,0.5694444444444444
5,ridge,6.062246172991129,10.263052726724924,-0.12930586354074824,0.6763888888888889
5,random_forest,6.136705004379445,10.259947081130852,-0.22964532953281072,0.6583333333333333
