VM Lag (months),CVA
1,0.0
2,29336.1909278641
3,47338.14125354553
4,61148.10670797181
5,72596.15237945165
6,82676.98514494624
7,91633.6492549591
8,99377.91490669896
9,107858.14890559393
10,114862.86524023938
11,119712.59131744469
12,128209.90948461753
13,132535.0136227331
14,137042.58952493002
15,146063.78074761308
16,150667.1470434865
17,152768.21487924372
18,156887.6259526142
19,162906.32508284075
20,171995.437933085
21,176771.380135865
22,177960.86290857874
23,179951.1586948941
24,182416.56918964494
25,185838.49690780498
26,189999.65901547126
27,195122.9590460267
28,201066.4746441951
29,207971.8271330828
30,216355.54087779892
31,221861.3265584951
32,221903.2248121781
33,222183.5742946405
34,222750.9648231301
35,223630.23804640278
36,224600.13475684542
37,225711.11791866884
38,227101.55848062728
39,228710.843578915
40,230500.8407944848
41,232687.78123414653
42,234999.23962360984
43,237480.50703614007
44,240322.21128856164
45,243289.0264920278
46,246465.8322646318
47,249836.78440758714
48,253395.9276267564
49,257238.60095390186
50,261169.263142076
51,265366.50889779534
52,269888.0784226543
53,274513.9888368096
54,279431.0631070094
55,284648.18743210984
56,290124.14582440915
57,295949.7164230519
58,302079.5003997935
59,308604.23650979693
60,315589.05197368516
