factor_type,factor,shock_label,instant_PnL_eur,stressed_VaR_eur,stressed_ES_eur,delta_VaR_eur,delta_ES_eur
Equity/Index,ASML,+20%,32000.0,-4846.269539255405,9585.512966818731,-32000.0,-32000.0
Equity/Index,ASML,+40%,64000.0,-36846.26953925541,-22414.48703318127,-64000.0,-64000.0
Equity/Index,ASML,-20%,-32000.0,59153.73046074459,73585.51296681874,31999.999999999996,32000.000000000015
Equity/Index,ASML,-40%,-64000.0,91153.7304607446,105585.51296681871,64000.0,63999.999999999985
Equity/Index,JPM_EUR,+20%,48000.0,-20846.269539255405,-6414.487033181271,-48000.0,-48000.0
Equity/Index,JPM_EUR,+40%,96000.0,-68846.2695392554,-54414.48703318126,-96000.0,-96000.0
Equity/Index,JPM_EUR,-20%,-48000.0,75153.7304607446,89585.51296681871,48000.0,47999.999999999985
Equity/Index,JPM_EUR,-40%,-96000.0,123153.7304607446,137585.51296681873,96000.0,96000.0
Equity/Index,SHELL,+20%,16000.0,11153.730460744595,25585.51296681873,-16000.0,-16000.0
Equity/Index,SHELL,+40%,32000.0,-4846.269539255405,9585.512966818731,-32000.0,-32000.0
Equity/Index,SHELL,-20%,-16000.0,43153.73046074459,57585.51296681874,15999.999999999996,16000.000000000007
Equity/Index,SHELL,-40%,-32000.0,59153.73046074459,73585.51296681874,31999.999999999996,32000.000000000015
Equity/Index,SP500_EUR,+20%,48000.0,-20846.269539255405,-6414.487033181271,-48000.0,-48000.0
Equity/Index,SP500_EUR,+40%,96000.0,-68846.2695392554,-54414.48703318126,-96000.0,-96000.0
Equity/Index,SP500_EUR,-20%,-48000.0,75153.7304607446,89585.51296681871,48000.0,47999.999999999985
Equity/Index,SP500_EUR,-40%,-96000.0,123153.7304607446,137585.51296681873,96000.0,96000.0
Equity/Index,STOXX50,+20%,16000.0,11153.730460744595,25585.51296681873,-16000.0,-16000.0
Equity/Index,STOXX50,+40%,32000.0,-4846.269539255405,9585.512966818731,-32000.0,-32000.0
Equity/Index,STOXX50,-20%,-16000.0,43153.73046074459,57585.51296681874,15999.999999999996,16000.000000000007
Equity/Index,STOXX50,-40%,-32000.0,59153.73046074459,73585.51296681874,31999.999999999996,32000.000000000015
FX,EURUSD,+10%,-43636.36363636364,70790.09409710823,85221.87660318236,43636.36363636363,43636.36363636363
FX,EURUSD,-10%,53333.333333333336,-26179.60287258874,-11747.820366514607,-53333.333333333336,-53333.333333333336
Rate,EURIBOR3M,+2pp,-36540.396,63694.12646074459,78125.90896681872,36540.39599999999,36540.39599999999
Rate,EURIBOR3M,+3pp,-54810.594,81964.32446074458,96396.10696681873,54810.59399999998,54810.594
Rate,EURIBOR3M,-2pp,36540.396,-9386.665539255406,5045.1169668187285,-36540.396,-36540.396
Rate,EURIBOR3M,-3pp,54810.594,-27656.863539255402,-13225.081033181268,-54810.594,-54810.594
